id,title,url,category,subcategory,program,regulation,campus,source_type,data_type,action,priority
1,MRDU Homepage,https://mrdu.edu.in/,University Info,Home,All,All,main,Web,HTML,INCLUDE,HIGH
2,About MRDU Overview,https://mrdu.edu.in/about,University Info,About,All,All,main,Web,HTML,INCLUDE,HIGH
3,Vision and Mission,https://mrdu.edu.in/about/vision-mission,University Info,Vision & Mission,All,All,main,Web,HTML,INCLUDE,HIGH
4,Affiliation & Accreditation,https://mrdu.edu.in/about/affiliation-accreditation,University Info,Accreditation,All,All,main,Web,HTML,INCLUDE,HIGH
5,NAAC Accreditation,https://mrdu.edu.in/about/naac,University Info,Accreditation,All,All,main,Web,HTML,INCLUDE,HIGH
6,NIRF,https://mrdu.edu.in/about/nirf,University Info,Accreditation,All,All,main,Web,HTML,INCLUDE,MEDIUM
7,Academic Council,https://mrdu.edu.in/about/academic-council,University Info,Governance,All,All,main,Web,HTML,INCLUDE,MEDIUM
8,Executive Council,https://mrdu.edu.in/about/executive-council,University Info,Governance,All,All,main,Web,HTML,INCLUDE,MEDIUM
9,B.Tech Academics,https://mrdu.edu.in/academics/ug,Admissions,B.Tech,B.Tech,All,main,Web,HTML,INCLUDE,HIGH
10,M.Tech Academics,https://mrdu.edu.in/academics/pg,Admissions,M.Tech,M.Tech,All,main,Web,HTML,INCLUDE,HIGH
11,How to Apply,https://mrdu.edu.in/admissions/how-to-apply,Admissions,Admission Process,"B.Tech, M.Tech",All,main,Web,HTML,INCLUDE,HIGH
12,Admissions 2026-27,https://mrdu.edu.in/admissions/2026-27,Admissions,Admission Process,"B.Tech, M.Tech",All,main,Web,HTML,INCLUDE,HIGH
13,Fees,https://mrdu.edu.in/admissions/fees,Admissions,Fees,"B.Tech, M.Tech",All,main,Web,HTML,INCLUDE,HIGH
14,Academic Calendar,https://mrdu.edu.in/academics/university_calendar,Academics,Calendar,All,All,main,Web,HTML,INCLUDE,HIGH
15,Academic Regulations,https://mrdu.edu.in/academics/academic_regulation,Academics,Regulations,"B.Tech, M.Tech","MR20, MR21, MR22, MR24",main,Web,HTML,FILTER,HIGH
16,School of Computer Science,https://mrdu.edu.in/academics/schools/computer-sciences,Departments,CSE & Allied,"B.Tech, M.Tech",All,main,Web,HTML,INCLUDE,HIGH
17,School of Electronics,https://mrdu.edu.in/academics/schools/electronics,Departments,ECE & EEE,"B.Tech, M.Tech",All,main,Web,HTML,INCLUDE,HIGH
18,School of Civil and Mechanical,https://mrdu.edu.in/academics/schools/civil-mechanical,Departments,Civil & Mechanical,"B.Tech, M.Tech",All,main,Web,HTML,INCLUDE,HIGH
19,Exam Timetables,https://mrdu.edu.in/examinations/timetables,Examinations,Timetables,All,All,main,Web,HTML,INCLUDE,HIGH
20,Exam Fees,https://mrdu.edu.in/examinations/fees,Examinations,Exam Fees,All,All,main,Web,HTML,INCLUDE,HIGH
21,Exam Circulars,https://mrdu.edu.in/examinations/circulars,Examinations,Circulars,All,All,main,Web,HTML,INCLUDE,HIGH
22,Examination Results,https://academics.mrdu.edu.in/,Examinations,Results,All,All,main,Web,HTML,INCLUDE,HIGH
23,RC/RV Notifications,https://mrdu.edu.in/examinations/rc-rv,Examinations,Revaluation,All,All,main,Web,HTML,INCLUDE,MEDIUM
24,Question Bank,https://mrdu.edu.in/examinations/question-bank,Examinations,Question Bank,All,All,main,Web,HTML,VERIFY,MEDIUM
25,Question Papers,https://mrdu.edu.in/examinations/question-papers,Examinations,Question Papers,All,All,main,Web,HTML,VERIFY,MEDIUM
26,Notifications,https://mrdu.edu.in/notifications,University Info,Notifications,All,All,main,Web,HTML,INCLUDE,HIGH
27,Library,https://mrdu.edu.in/academics/library,Student Services,Library,All,All,main,Web,HTML,INCLUDE,MEDIUM
28,Hostels,https://mrdu.edu.in/student-life/hostels,Student Services,Hostel,All,All,main,Web,HTML,INCLUDE,MEDIUM
29,Transport,https://mrdu.edu.in/student-life/transport,Student Services,Transport,All,All,main,Web,HTML,OPTIONAL-FILTER,LOW
30,Sports,https://mrdu.edu.in/student-life/sports,Student Services,Sports,All,All,main,Web,HTML,OPTIONAL-FILTER,LOW
31,Anti-Ragging,https://mrdu.edu.in/student-life/anti-ragging,Policies,Anti-Ragging,All,All,main,Web,HTML,INCLUDE,HIGH
32,Student Code of Conduct,https://mrdu.edu.in/student-life/cocs,Policies,Code of Conduct,All,All,main,Web,HTML,INCLUDE,HIGH
33,Grievance Redressal,https://mrdu.edu.in/student-life/grievance,Policies,Grievance,All,All,main,Web,HTML,INCLUDE,HIGH
34,Internal Complaints Committee (ICC),https://mrdu.edu.in/student-life/icc,Policies,ICC,All,All,main,Web,HTML,INCLUDE,HIGH
35,Tirupati Campus,https://mrdu.edu.in/off-campus/tirupati,University Info,Campus,All,All,tirupati,Web,HTML,INCLUDE,HIGH
